t,d
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.100000
21,0.200000
22,0.300000
23,0.400000
24,0.500000
25,0.600000
26,0.700000
27,0.800000
28,0.900000
29,1.000000
30,1.000000
31,1.000000
32,1.000000
33,1.000000
34,1.000000
35,1.000000
36,1.000000
37,1.000000
38,1.000000
39,1.000000
40,1.000000
41,1.000000
42,1.000000
43,1.000000
44,1.000000
45,1.000000
46,1.000000
47,1.000000
48,1.000000
49,1.000000
50,1.000000
51,1.000000
52,1.000000
53,1.000000
54,1.000000
55,0.900000
56,0.800000
57,0.700000
58,0.600000
59,0.500000
60,0.400000
61,0.300000
62,0.200000
63,0.100000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
